iter	Accuracy	Logloss
231	0.94875	0.2099907646
232	0.94875	0.2096054128
233	0.949375	0.2091271577
234	0.94875	0.2087276736
235	0.95125	0.2079131457
236	0.950625	0.2075487233
237	0.950625	0.2069554391
238	0.951875	0.2064083633
239	0.951875	0.205944076
240	0.953125	0.205436751
241	0.953125	0.2049962011
242	0.9525	0.2045357736
243	0.9525	0.2041532599
244	0.953125	0.2035788598
245	0.9525	0.2032522612
246	0.951875	0.2027715299
247	0.9525	0.2021634967
248	0.951875	0.201551491
249	0.95375	0.2012656428
250	0.95375	0.2007801099
251	0.95375	0.2002511274
252	0.95375	0.1998825748
253	0.954375	0.1994705991
254	0.95375	0.1990937088
255	0.955	0.1982566763
256	0.955625	0.1977702667
257	0.955625	0.1971327705
258	0.955625	0.1968371065
259	0.955625	0.1965416175
260	0.956875	0.1963006021
261	0.956875	0.1955771802
262	0.956875	0.1953522557
263	0.9575	0.1949241826
264	0.9575	0.1942535318
265	0.9575	0.1937031701
266	0.9575	0.1930376579
267	0.95875	0.1926096453
268	0.95875	0.1922926233
269	0.959375	0.1915811089
270	0.959375	0.1909006217
271	0.96	0.1903908447
272	0.960625	0.1900135155
273	0.960625	0.1893608014
274	0.96	0.1889198224
275	0.960625	0.1886820209
276	0.960625	0.1884409268
277	0.960625	0.1881735289
278	0.960625	0.1877938972
279	0.960625	0.1874814118
280	0.960625	0.1868894891
281	0.960625	0.1865006912
282	0.960625	0.1860990878
283	0.960625	0.1855748515
284	0.960625	0.185218205
285	0.960625	0.1846849768
286	0.960625	0.1842545157
287	0.960625	0.1839666464
288	0.960625	0.1835553533
289	0.960625	0.1831523134
290	0.960625	0.1826429253
291	0.960625	0.1822093751
292	0.96125	0.1817535117
293	0.96125	0.1813883597
294	0.961875	0.1809319125
295	0.961875	0.1804475722
296	0.961875	0.1800714899
297	0.9625	0.1795125412
298	0.9625	0.1792234383
299	0.963125	0.1787483297
300	0.963125	0.1785185933
301	0.96375	0.1781651654
302	0.964375	0.1776386444
303	0.965	0.1773360153
304	0.964375	0.1770483521
305	0.965	0.1766531962
306	0.964375	0.17619981
307	0.964375	0.1759078195
308	0.964375	0.1756696616
309	0.96375	0.1750946913
310	0.964375	0.1747042217
311	0.964375	0.1744217322
312	0.964375	0.1734626837
313	0.965	0.1731232432
314	0.965	0.1729585893
315	0.965	0.1724225484
316	0.964375	0.1718683017
317	0.965	0.1715916069
318	0.965	0.1712500557
319	0.965625	0.1709283118
320	0.965625	0.1706846436
321	0.96625	0.1703668252
322	0.96625	0.1699181286
323	0.965625	0.1693995716
324	0.965625	0.1689209758
325	0.96625	0.1685017098
326	0.966875	0.1682065294
327	0.966875	0.1678647733
328	0.9675	0.167322721
329	0.966875	0.1666787326
330	0.9675	0.1662147847
331	0.9675	0.1658312427
332	0.966875	0.1653976519
333	0.966875	0.165170165
334	0.966875	0.1647713604
335	0.9675	0.1645604341
336	0.966875	0.16411351
337	0.968125	0.16377685
338	0.96875	0.1634040357
339	0.97	0.1629361503
340	0.97	0.1625693843
341	0.97	0.1620874456
342	0.970625	0.1617853315
343	0.97125	0.1613697413
344	0.970625	0.1609498186
345	0.97	0.1604752986
346	0.97	0.1601813221
347	0.97	0.1597998295
348	0.970625	0.1595178137
349	0.970625	0.1590538543
